State,Abbreviation,Capital,Latitude,Longitude
Alabama,AL,Montgomery,32.361538,-86.279118
Alaska,AK,Juneau,58.301935,-134.41974
Arizona,AZ,Phoenix,33.448457,-112.073844
Arkansas,AR,Little Rock,34.736009,-92.331122
California,CA,Sacramento,38.555605,-121.468926
Colorado,CO,Denver,39.7391667,-104.984167
Connecticut,CT,Hartford,41.767,-72.677
Delaware,DE,Dover,39.161921,-75.526755
Florida,FL,Tallahassee,30.4518,-84.27277
Georgia,GA,Atlanta,33.76,-84.39
Hawaii,HI,Honolulu,21.30895,-157.826182
Idaho,ID,Boise,43.613739,-116.237651
Illinois,IL,Springfield,39.78325,-89.650373
Indiana,IN,Indianapolis,39.790942,-86.147685
Iowa,IA,Des Moines,41.590939,-93.620866
Kansas,KS,Topeka,39.04,-95.69
Kentucky,KY,Frankfort,38.197274,-84.86311
Louisiana,LA, Baton Rouge,30.45809,-91.140229
Maine,ME,Augusta,44.323535,-69.765261
Maryland,MD,Annapolis,38.972945,-76.501157
Massachusetts,MA,Boston,42.2352,-71.0275
Michigan,MI,Lansing,42.7335,-84.5467
Minnesota,MN,Saint Paul,44.95,-93.094
Mississippi,MS,Jackson,32.32,-90.207
Missouri,MO,Jefferson City,38.572954,-92.189283
Montana,MT,Helana,46.595805,-112.027031
Nebraska,NE,Lincoln,40.809868,-96.675345
Nevada,NV,Carson City,39.160949,-119.753877
New Hampshire,NH,Concord,43.220093,-71.549127
New Jersey,NJ,Trenton,40.221741,-74.756138
New Mexico,NM, Santa Fe,35.667231,-105.964575
New York,NY,Albany,42.659829,-73.781339
North Carolina,NC,Raleigh,35.771,-35.771
North Dakota,ND,Bismarck,48.813343,-100.779004
Ohio,OH,Columbus,39.962245,-83.000647
Oklahoma,OK,Oklahoma City,35.482309,-97.534994
Oregon,OR,Salem,44.931109,-123.029159
Pennsylvania,PA,Harrisburg,40.269789,-76.875613
Rhode Island,RI,Providence,41.82355,-71.422132
South Carolina,SC,Columbia,34,-81.035
South Dakota,SD,Pierre,44.367966,-100.336378
Tennessee,TN,Nashville,36.165,-86.784
Texas,TX,Austin,30.266667,-97.75
Utah,UT,Salt Lake City,40.7547,-111.892622
Vermont,VT,Montpelier,44.26639,-72.57194
Virginia,VA,Richmond,37.54,-77.46
Washington,WA,Olympia,47.042418,-122.893077
West Virginia,WV,Charleston,38.349497,-81.633294
Wisconsin,WI,Madison,43.074722,-89.384444
Wyoming,WY,Cheyenne,41.145548,-104.802042
American Samoa,AS,Pago Pago,14.271,-170.1322
District of Columbia,DC,DC,38.9072,-77.0369
Federated States of Micronesia,FM,Palikir,7.4256,150.5508
Guam,GU,Hagatna,13.4443,144.7937
Marshall Islands,MH,Majuro,7.1315,171.1845
Northern Mariana Islands,MP,Saipan,15.0979,145.6739
Palau,PW,Ngerulmud,7.515,134.5825
Puerto Rico,PR,San Juan,18.2208,-66.5901
Virgin Islands,VI,Charlotte Amalie,18.3358,-64.8963
